employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
22865,Analytics,20,Master's & above,Male,Other,1,40,5.0,5,0,1,83,1
27605,Operations,22,Master's & above,Male,Other,1,34,3.0,3,0,0,75,1
45496,Sales & Marketing,2,Bachelor's,Male,Other,1,22,5.0,2,0,0,62,1
66262,Procurement,2,Bachelor's,Female,Other,2,26,5.0,2,1,0,68,1
51544,Procurement,12,Bachelor's,Female,Other,1,32,5.0,5,0,1,84,1
70197,R&D,22,Master's & above,Male,Other,1,30,4.0,2,1,0,96,1
55730,Sales & Marketing,26,Bachelor's,Male,Other,1,45,4.0,15,0,0,64,1
8284,Sales & Marketing,2,Bachelor's,Female,Other,1,34,5.0,5,0,0,60,1
36936,Sales & Marketing,28,Bachelor's,Male,Other,1,24,2.0,2,1,0,52,1
70048,Sales & Marketing,1,Master's & above,Male,Other,1,37,3.0,10,1,0,49,1
12538,Operations,14,Bachelor's,Male,Other,1,35,5.0,10,1,0,59,1
56140,Technology,13,Bachelor's,Female,Other,1,33,3.0,4,1,0,76,1
46639,Sales & Marketing,7,Bachelor's,Female,Sourcing,1,32,5.0,8,1,0,46,1
76698,Operations,7,Bachelor's,Female,Other,1,45,3.0,4,0,1,65,1
38934,Operations,22,Master's & above,Female,Sourcing,1,48,3.0,15,0,0,69,1
31987,Procurement,17,Master's & above,Male,Other,1,45,3.0,16,0,0,87,1
29146,Operations,22,Master's & above,Male,Other,3,32,3.0,4,1,0,64,1
65024,Operations,7,Master's & above,Female,Sourcing,1,33,5.0,6,0,0,74,1
30900,Sales & Marketing,12,Bachelor's,Male,Sourcing,1,35,4.0,10,1,0,50,1
44381,Operations,7,Bachelor's,Male,Other,1,33,5.0,8,1,0,59,1
26944,Sales & Marketing,2,Bachelor's,Female,Sourcing,1,34,2.0,7,1,0,49,1
4857,Analytics,28,Bachelor's,Male,Other,1,36,5.0,3,1,0,91,1
58988,Procurement,23,Master's & above,Male,Other,2,35,5.0,6,1,0,91,1
6731,R&D,29,Bachelor's,Male,Sourcing,1,30,5.0,1,0,0,96,1
63667,Procurement,26,Bachelor's,Male,Other,1,28,,1,0,0,82,1
21230,R&D,7,Bachelor's,Male,Sourcing,2,32,5.0,3,1,0,83,1
29950,Sales & Marketing,26,Bachelor's,Male,Sourcing,1,40,3.0,18,1,0,55,1
5272,Operations,2,Below Secondary,Female,Sourcing,1,24,,1,0,0,73,1
70679,Sales & Marketing,2,Master's & above,Female,Other,1,39,1.0,10,1,0,52,1
20516,Sales & Marketing,2,Bachelor's,Male,Other,1,24,3.0,2,1,1,81,1
25354,Sales & Marketing,2,Bachelor's,Male,Other,1,47,4.0,16,1,0,48,1
24397,Operations,22,Bachelor's,Male,Other,1,32,4.0,4,1,1,57,1
9072,Sales & Marketing,14,Master's & above,Male,Other,1,33,4.0,3,1,0,94,1
15024,Technology,32,Bachelor's,Female,Sourcing,4,32,5.0,8,0,0,93,1
17190,Procurement,34,Bachelor's,Male,Other,1,29,5.0,4,0,0,84,1
64764,Technology,2,Bachelor's,Male,Sourcing,1,26,,1,1,1,81,1
48737,Operations,4,Bachelor's,Male,Other,2,29,5.0,5,1,0,63,1
60567,Analytics,25,Bachelor's,Male,Other,1,30,3.0,6,1,0,84,1
64947,Sales & Marketing,7,Bachelor's,Male,Other,1,35,5.0,3,1,1,45,1
54321,Technology,7,Bachelor's,Male,Sourcing,1,30,,1,1,0,78,1
43786,Analytics,22,Bachelor's,Female,Sourcing,2,27,3.0,3,1,0,85,1
38634,Analytics,31,Bachelor's,Male,Other,2,28,3.0,2,1,0,86,1
70800,Operations,4,Master's & above,Female,Sourcing,1,37,5.0,8,1,1,99,1
69334,Finance,28,Master's & above,Male,Other,1,33,3.0,3,1,1,60,1
11811,Technology,7,Master's & above,Female,Other,1,39,4.0,4,1,0,78,1
58828,HR,26,Bachelor's,Male,Other,1,28,2.0,2,1,0,52,1
27190,Operations,7,Bachelor's,Male,Sourcing,1,33,3.0,4,0,0,74,1
26805,Operations,32,Bachelor's,Male,Other,1,36,4.0,3,1,0,74,1
52952,Analytics,22,Bachelor's,Male,Referred,1,32,3.0,3,1,1,78,1
604,Technology,26,Bachelor's,Male,Other,1,35,1.0,6,1,0,77,1
16149,Analytics,22,Bachelor's,Male,Other,1,34,3.0,3,0,0,89,1
20877,Sales & Marketing,4,Bachelor's,Female,Other,1,30,3.0,8,1,0,50,1
46802,Procurement,20,Bachelor's,Female,Other,1,33,2.0,3,1,0,69,1
14067,Procurement,7,Bachelor's,Female,Other,1,29,5.0,4,1,0,72,1
44100,Sales & Marketing,7,Master's & above,Male,Sourcing,1,42,5.0,11,1,0,54,1
31700,Procurement,17,Master's & above,Female,Other,1,36,3.0,4,0,0,81,1
35744,Sales & Marketing,28,Bachelor's,Male,Other,1,25,4.0,3,1,0,64,1
54981,Operations,15,Bachelor's,Female,Other,2,42,5.0,5,1,0,61,1
43446,Technology,17,Bachelor's,Male,Other,1,36,4.0,5,1,0,78,1
33769,Technology,4,Bachelor's,Male,Other,1,30,5.0,3,1,0,77,1
6751,Sales & Marketing,28,Master's & above,Male,Other,1,36,3.0,2,1,0,45,1
46849,Sales & Marketing,3,Bachelor's,Male,Other,1,32,5.0,5,1,0,47,1
16458,Operations,4,Bachelor's,Female,Sourcing,1,39,5.0,9,1,0,61,1
710,Analytics,22,Bachelor's,Male,Other,1,28,,1,1,0,86,1
26129,Sales & Marketing,22,Bachelor's,Male,Referred,1,29,3.0,2,1,0,55,1
6104,Operations,22,Bachelor's,Male,Sourcing,1,27,5.0,4,0,0,68,1
34428,Technology,7,Master's & above,Female,Other,1,41,4.0,8,1,1,93,1
6511,Analytics,7,Bachelor's,Male,Sourcing,2,29,5.0,2,0,0,86,1
6704,Sales & Marketing,15,Bachelor's,Male,Other,1,40,3.0,12,1,0,47,1
27543,Operations,4,Master's & above,Male,Sourcing,1,44,3.0,15,1,0,61,1
69540,Technology,5,Bachelor's,Female,Sourcing,1,24,,1,0,0,81,1
76938,Technology,28,Bachelor's,Male,Other,1,28,5.0,4,0,1,91,1
28847,Operations,22,Bachelor's,Female,Sourcing,3,36,2.0,4,0,0,78,1
73853,R&D,4,Master's & above,Male,Other,1,42,4.0,8,1,0,85,1
8424,Operations,15,Master's & above,Male,Sourcing,2,44,5.0,11,1,0,92,1
45253,Analytics,22,Bachelor's,Female,Sourcing,1,29,4.0,4,1,0,92,1
63292,Procurement,22,Bachelor's,Male,Sourcing,1,26,,1,0,0,80,1
44344,Sales & Marketing,13,Master's & above,Female,Sourcing,1,40,3.0,5,1,0,50,1
76470,Technology,17,Bachelor's,Female,Other,1,32,5.0,4,1,0,95,1
70680,HR,22,Bachelor's,Male,Sourcing,1,28,,1,1,0,51,1
74295,Procurement,13,Master's & above,Female,Other,1,36,3.0,6,1,0,67,1
312,Sales & Marketing,23,Bachelor's,Male,Sourcing,1,35,3.0,9,1,0,45,1
1570,Operations,13,Bachelor's,Male,Other,1,34,3.0,3,0,0,68,1
45312,Analytics,15,Bachelor's,Male,Other,1,37,5.0,11,0,1,86,1
74181,Procurement,16,Bachelor's,Female,Other,1,37,5.0,5,0,0,77,1
77159,Analytics,5,Master's & above,Male,Sourcing,1,37,2.0,7,0,1,81,1
4747,Technology,22,Master's & above,Male,Referred,3,36,3.0,7,1,0,80,1
3907,Procurement,22,Bachelor's,Female,Other,1,34,5.0,2,1,0,65,1
68919,Technology,13,Bachelor's,Male,Sourcing,1,38,5.0,4,0,0,93,1
19198,Sales & Marketing,6,Bachelor's,Male,Other,1,32,3.0,6,1,0,47,1
30140,Analytics,28,Bachelor's,Male,Other,1,34,3.0,7,1,0,80,1
34392,R&D,26,Bachelor's,Male,Sourcing,2,40,3.0,2,1,1,84,1
13086,Sales & Marketing,7,Bachelor's,Male,Other,1,32,3.0,4,0,0,65,1
67964,Procurement,7,Bachelor's,Male,Other,1,36,3.0,4,1,0,72,1
29839,Sales & Marketing,13,Bachelor's,Male,Other,1,54,5.0,11,1,0,45,1
30787,Technology,22,Bachelor's,Female,Other,1,26,5.0,3,1,0,80,1
8711,Procurement,17,Bachelor's,Female,Other,1,26,5.0,4,0,0,86,1
32140,Sales & Marketing,3,Bachelor's,Male,Other,1,34,4.0,9,1,0,46,1
1234,Technology,2,Below Secondary,Male,Other,3,23,,1,0,0,82,1
65621,Technology,2,Bachelor's,Male,Other,1,30,5.0,6,0,1,86,1
63636,Sales & Marketing,2,Bachelor's,Male,Other,1,36,4.0,8,1,0,51,1
67600,Technology,27,Bachelor's,Female,Sourcing,1,28,4.0,2,1,0,78,1
7370,Sales & Marketing,21,Bachelor's,Male,Other,1,48,3.0,4,1,0,51,1
10027,Operations,7,Bachelor's,Female,Sourcing,1,32,4.0,5,1,0,99,1
23259,Technology,2,Bachelor's,Female,Sourcing,1,24,4.0,2,1,0,84,1
23216,Procurement,13,Master's & above,Female,Other,1,34,5.0,7,1,0,74,1
44757,HR,26,Bachelor's,Female,Other,1,31,3.0,5,1,0,46,1
52957,Technology,22,Master's & above,Male,Other,1,37,4.0,6,1,0,82,1
16939,Sales & Marketing,17,Bachelor's,Male,Other,1,31,4.0,3,0,0,60,1
8691,Finance,25,Bachelor's,Male,Other,1,32,5.0,6,1,0,57,1
44105,Sales & Marketing,28,Bachelor's,Male,Other,1,34,5.0,7,1,0,53,1
6402,Sales & Marketing,26,Master's & above,Male,Other,1,41,5.0,14,1,0,45,1
41573,Sales & Marketing,2,Bachelor's,Female,Other,1,35,4.0,7,1,0,54,1
42379,Sales & Marketing,14,Bachelor's,Male,Other,1,39,3.0,10,0,0,58,1
66509,Operations,4,Bachelor's,Female,Other,1,36,3.0,9,1,0,61,1
54725,Procurement,2,Bachelor's,Male,Sourcing,2,40,3.0,4,1,0,66,1
4653,Operations,2,Bachelor's,Female,Sourcing,1,32,5.0,10,0,0,69,1
44041,Technology,28,Master's & above,Male,Other,1,34,3.0,9,0,0,80,1
24023,Operations,7,Master's & above,Female,Other,1,56,5.0,7,1,1,61,1
53335,Procurement,15,Master's & above,Male,Other,1,40,4.0,9,1,0,72,1
2742,Technology,28,Master's & above,Male,Other,1,35,2.0,8,1,0,78,1
2985,Analytics,22,Bachelor's,Female,Sourcing,1,26,5.0,4,1,0,86,1
25052,Procurement,27,Bachelor's,Male,Other,2,28,,1,1,0,71,1
67891,Sales & Marketing,2,Bachelor's,Male,Sourcing,1,23,5.0,2,0,0,64,1
51271,R&D,22,Bachelor's,Male,Other,1,29,5.0,2,1,0,83,1
68405,Operations,11,Master's & above,Male,Other,1,41,3.0,5,1,0,63,1
56674,Procurement,23,Master's & above,Female,Sourcing,1,34,5.0,7,0,0,86,1
76103,Sales & Marketing,3,Master's & above,Male,Sourcing,1,37,4.0,10,1,0,92,1
36413,Sales & Marketing,28,Master's & above,Male,Other,1,43,3.0,11,1,0,55,1
33516,Sales & Marketing,2,Bachelor's,Female,Other,2,37,4.0,9,1,0,51,1
60175,Analytics,22,Bachelor's,Male,Other,1,28,5.0,8,0,0,87,1
55226,Procurement,2,Master's & above,Female,Sourcing,1,38,5.0,7,1,0,72,1
45988,R&D,2,Master's & above,Male,Sourcing,1,41,3.0,13,1,0,85,1
31379,Procurement,8,Master's & above,Female,Other,1,32,2.0,9,0,0,88,1
20036,Procurement,15,Bachelor's,Female,Other,1,30,3.0,5,0,0,85,1
3854,Procurement,16,Master's & above,Female,Other,1,35,3.0,9,1,0,70,1
63115,HR,4,Master's & above,Female,Other,1,33,5.0,3,0,0,65,1
14085,Sales & Marketing,16,Bachelor's,Male,Sourcing,1,22,,1,0,0,61,1
48898,Procurement,2,Bachelor's,Female,Other,1,34,3.0,6,0,0,83,1
40339,Sales & Marketing,7,Master's & above,Male,Other,1,54,4.0,14,1,0,48,1
59931,Sales & Marketing,2,Master's & above,Male,Other,1,35,5.0,8,1,0,48,1
67122,Sales & Marketing,2,Bachelor's,Female,Other,1,43,5.0,11,1,0,46,1
38825,Operations,22,Bachelor's,Female,Other,1,27,5.0,4,0,0,77,1
68114,Operations,22,Bachelor's,Female,Sourcing,1,37,5.0,11,1,0,62,1
55909,Sales & Marketing,1,Master's & above,Male,Other,1,39,3.0,3,1,0,45,1
33414,Sales & Marketing,22,Bachelor's,Male,Other,1,30,5.0,6,1,0,54,1
73386,Procurement,15,Master's & above,Male,Other,1,39,2.0,4,1,1,74,1
6171,Procurement,22,Bachelor's,Male,Other,1,32,5.0,4,0,1,99,1
16087,Operations,21,Bachelor's,Male,Other,1,34,3.0,6,1,0,55,1
21335,Technology,13,Master's & above,Male,Other,1,36,3.0,7,1,0,87,1
75235,Sales & Marketing,29,Bachelor's,Male,Other,1,35,3.0,10,1,0,50,1
31286,Sales & Marketing,7,Bachelor's,Female,Other,1,24,,1,1,0,47,1
30828,Finance,28,Bachelor's,Male,Sourcing,1,31,5.0,5,1,0,55,1
71187,Procurement,22,Master's & above,Female,Sourcing,1,33,5.0,7,1,0,68,1
21304,Technology,27,Master's & above,Male,Other,1,40,5.0,14,1,1,85,1
11653,Analytics,27,Bachelor's,Male,Sourcing,1,29,4.0,1,1,0,81,1
17781,Sales & Marketing,31,Bachelor's,Male,Other,1,23,,1,1,0,47,1
68499,Operations,7,Bachelor's,Male,Sourcing,1,35,4.0,2,0,1,71,1
40472,Technology,13,Master's & above,Female,Other,1,32,4.0,7,1,0,97,1
78106,Operations,15,Bachelor's,Female,Other,1,35,5.0,4,0,0,74,1
10607,Analytics,8,Bachelor's,Male,Sourcing,1,27,5.0,5,1,0,87,1
25965,Procurement,11,Bachelor's,Female,Other,1,31,5.0,2,1,0,71,1
37204,Procurement,7,Bachelor's,Male,Other,1,32,5.0,7,1,0,70,1
4646,Sales & Marketing,2,Bachelor's,Male,Other,1,37,3.0,8,0,0,59,1
20343,Sales & Marketing,2,Master's & above,Male,Sourcing,1,37,3.0,7,0,0,59,1
5203,Sales & Marketing,2,Bachelor's,Male,Other,1,44,5.0,3,0,0,57,1
32127,Sales & Marketing,22,Bachelor's,Male,Sourcing,1,26,5.0,5,1,0,93,1
5237,Sales & Marketing,2,Bachelor's,Female,Sourcing,1,54,4.0,12,1,0,47,1
21817,Operations,2,Bachelor's,Female,Other,1,30,4.0,6,1,1,59,1
40459,Analytics,27,Bachelor's,Male,Sourcing,1,33,5.0,3,1,0,92,1
8986,Procurement,13,Bachelor's,Male,Other,1,40,3.0,4,1,0,67,1
62660,Analytics,22,Bachelor's,Male,Other,1,28,3.0,2,1,0,88,1
44905,Procurement,19,Bachelor's,Male,Sourcing,1,38,5.0,3,1,0,70,1
41625,Procurement,13,Bachelor's,Male,Other,2,35,3.0,3,0,0,93,1
16013,Technology,10,Bachelor's,Female,Other,1,29,4.0,4,1,0,82,1
54158,Technology,26,Bachelor's,Male,Other,1,26,5.0,4,1,0,78,1
21595,Analytics,22,Bachelor's,Male,Sourcing,1,29,4.0,4,1,0,80,1
63903,Sales & Marketing,2,Master's & above,Male,Other,1,54,3.0,12,1,0,53,1
32567,Operations,2,Master's & above,Male,Other,1,38,5.0,6,0,0,79,1
52772,Technology,17,Bachelor's,Male,Sourcing,1,30,3.0,6,0,0,81,1
27709,Analytics,2,Bachelor's,Male,Sourcing,1,33,3.0,4,1,0,82,1
1957,Operations,15,Bachelor's,Male,Sourcing,1,46,5.0,9,0,1,89,1
75759,Operations,4,Bachelor's,Female,Sourcing,1,39,3.0,5,1,0,58,1
63700,Analytics,4,Bachelor's,Male,Other,2,30,3.0,5,0,0,86,1
19986,Technology,7,Master's & above,Female,Sourcing,1,42,5.0,12,1,0,77,1
40320,Analytics,13,Bachelor's,Male,Other,1,26,3.0,2,0,0,85,1
3602,Technology,33,Bachelor's,Male,Other,1,34,3.0,3,1,1,75,1
20067,Technology,7,Bachelor's,Female,Sourcing,1,35,3.0,7,0,0,89,1
43470,Sales & Marketing,2,Bachelor's,Male,Other,1,59,3.0,4,1,0,51,1
44393,Procurement,2,Master's & above,Female,Sourcing,1,39,3.0,7,1,0,72,1
10214,Procurement,17,Bachelor's,Male,Other,1,41,5.0,7,1,1,72,1
43281,Sales & Marketing,13,Master's & above,Male,Sourcing,1,34,5.0,9,1,0,50,1
37831,Analytics,7,Master's & above,Male,Other,1,42,3.0,5,1,0,82,1
19437,Analytics,22,Bachelor's,Male,Sourcing,2,28,5.0,5,0,0,83,1
66936,Operations,22,Bachelor's,Male,Other,2,55,5.0,18,0,0,71,1
6470,Analytics,7,Bachelor's,Female,Other,2,28,,1,1,0,85,1
45010,Technology,16,Master's & above,Male,Sourcing,1,42,3.0,5,0,0,81,1
69680,Sales & Marketing,14,Bachelor's,Male,Other,2,23,3.0,2,1,0,51,1
19149,Technology,2,Bachelor's,Female,Other,1,26,5.0,3,1,0,79,1
67702,Operations,22,Bachelor's,Male,Sourcing,3,29,4.0,4,1,0,56,1
68416,Sales & Marketing,28,Bachelor's,Male,Other,1,28,,1,0,0,67,1
51943,Technology,2,Bachelor's,Female,Other,1,34,4.0,3,1,0,79,1
70364,Sales & Marketing,22,Bachelor's,Male,Other,1,27,3.0,2,1,1,96,1
47273,Sales & Marketing,2,Bachelor's,Female,Referred,1,32,4.0,8,0,0,63,1
31632,Sales & Marketing,4,Bachelor's,Male,Sourcing,1,30,2.0,4,0,0,60,1
1393,Procurement,15,Bachelor's,Female,Other,1,29,5.0,5,1,0,71,1
26885,Sales & Marketing,16,Bachelor's,Male,Other,1,41,5.0,3,1,0,48,1
27648,Technology,20,Bachelor's,Male,Sourcing,1,30,,1,1,0,84,1
78263,Sales & Marketing,2,Bachelor's,Male,Sourcing,1,31,3.0,6,1,1,44,1
43927,Procurement,26,Bachelor's,Male,Sourcing,1,30,1.0,4,0,0,85,1
4742,Sales & Marketing,4,Bachelor's,Male,Sourcing,1,38,5.0,3,0,0,63,1
124,Operations,22,Master's & above,Female,Sourcing,2,38,3.0,12,1,0,87,1
14003,Operations,2,Master's & above,Female,Referred,1,35,5.0,8,1,0,60,1
48126,Operations,15,Bachelor's,Male,Other,1,32,5.0,7,1,0,58,1
27835,Sales & Marketing,7,Bachelor's,Male,Other,1,25,3.0,3,1,0,48,1
53671,Operations,22,Bachelor's,Female,Other,1,39,5.0,8,1,0,57,1
17681,Sales & Marketing,7,Bachelor's,Male,Other,1,30,4.0,5,1,0,65,1
67369,Sales & Marketing,15,Master's & above,Male,Other,1,36,4.0,3,1,0,65,1
10220,Operations,4,Bachelor's,Male,Sourcing,1,36,3.0,12,0,0,70,1
23128,Technology,2,Bachelor's,Female,Other,1,30,3.0,2,1,0,77,1
59941,R&D,22,Master's & above,Male,Sourcing,1,28,,1,1,0,85,1
7972,Analytics,32,Bachelor's,Male,Sourcing,1,30,5.0,4,1,0,82,1
29152,Operations,22,Bachelor's,Female,Other,1,34,5.0,6,0,0,74,1
44443,Operations,16,Master's & above,Male,Other,1,44,4.0,16,1,0,89,1
33842,HR,2,Master's & above,Male,Sourcing,1,42,5.0,4,0,0,63,1
26413,Analytics,20,Bachelor's,Male,Other,2,28,2.0,2,0,0,87,1
4673,Sales & Marketing,11,Bachelor's,Male,Sourcing,1,29,5.0,4,0,0,61,1
35084,Sales & Marketing,25,Bachelor's,Male,Sourcing,1,33,5.0,7,1,0,44,1
70153,Technology,26,Bachelor's,Male,Other,1,41,5.0,11,1,1,82,1
47585,Finance,2,Bachelor's,Male,Other,1,41,4.0,6,1,0,62,1
3763,Sales & Marketing,16,Bachelor's,Male,Sourcing,1,51,4.0,17,0,0,63,1
71293,HR,7,Master's & above,Male,Other,1,39,5.0,6,1,1,47,1
57259,Technology,7,Master's & above,Male,Other,2,37,3.0,5,1,1,94,1
75223,Operations,22,Bachelor's,Female,Sourcing,1,38,4.0,9,0,0,72,1
55609,Finance,28,Bachelor's,Female,Sourcing,1,30,5.0,7,1,0,60,1
41161,Operations,22,Bachelor's,Male,Other,1,40,5.0,3,1,1,60,1
75051,Operations,5,Bachelor's,Male,Sourcing,1,29,5.0,3,1,0,58,1
48528,Procurement,2,Master's & above,Female,Sourcing,1,46,3.0,13,1,0,69,1
39514,Analytics,30,Bachelor's,Male,Other,1,29,5.0,3,1,0,86,1
14132,Analytics,2,Bachelor's,Male,Other,2,41,2.0,13,1,0,82,1
74610,Analytics,22,Bachelor's,Female,Other,2,27,3.0,4,0,1,81,1
15025,Procurement,6,Bachelor's,Male,Other,3,27,4.0,3,1,0,68,1
1771,Technology,17,Bachelor's,Male,Other,1,39,4.0,14,0,0,88,1
63774,Sales & Marketing,2,Bachelor's,Female,Other,1,31,4.0,5,1,0,49,1
15306,Operations,22,Master's & above,Female,Other,1,35,3.0,4,0,1,96,1
15643,Technology,7,Bachelor's,Female,Sourcing,1,30,3.0,4,0,0,89,1
17036,HR,26,Bachelor's,Male,Other,1,30,3.0,5,1,0,90,1
74447,Operations,22,Master's & above,Male,Other,1,31,5.0,4,1,0,57,1
3957,Technology,2,Master's & above,Male,Sourcing,2,38,3.0,9,1,0,91,1
68376,Sales & Marketing,13,Bachelor's,Male,Sourcing,1,29,,1,1,1,92,1
63806,Operations,22,Bachelor's,Female,Sourcing,1,48,5.0,3,1,0,63,1
11102,Technology,13,Bachelor's,Male,Referred,1,31,3.0,3,1,0,80,1
76873,Sales & Marketing,28,Master's & above,Female,Sourcing,1,34,4.0,7,0,0,64,1
17514,Technology,14,Bachelor's,Male,Other,3,32,5.0,5,1,0,84,1
41750,Procurement,7,Bachelor's,Female,Sourcing,1,32,5.0,7,1,0,73,1
67245,Sales & Marketing,2,Bachelor's,Male,Sourcing,1,26,,1,1,1,90,1
51856,Sales & Marketing,23,Bachelor's,Male,Other,1,33,3.0,9,1,0,52,1
35368,Operations,27,Bachelor's,Female,Sourcing,1,43,3.0,10,1,0,62,1
66362,Procurement,2,Bachelor's,Female,Other,1,60,3.0,21,1,0,99,1
47800,Technology,2,Master's & above,Male,Sourcing,2,46,5.0,6,1,0,78,1
14922,Procurement,2,Master's & above,Female,Sourcing,1,51,2.0,11,1,0,71,1
69542,Sales & Marketing,19,Bachelor's,Male,Other,1,32,,1,1,0,97,1
41821,Operations,23,Master's & above,Female,Other,1,32,5.0,6,1,0,64,1
42512,Analytics,28,Master's & above,Male,Sourcing,1,33,5.0,4,1,0,87,1
69913,Analytics,22,Bachelor's,Male,Other,1,28,3.0,4,0,0,88,1
75671,Procurement,30,Bachelor's,Male,Sourcing,1,27,3.0,3,0,1,93,1
4856,Sales & Marketing,7,Bachelor's,Male,Sourcing,1,39,3.0,10,1,0,53,1
47096,Sales & Marketing,22,Bachelor's,Male,Sourcing,1,28,,1,1,0,94,1
73295,Analytics,7,Master's & above,Male,Other,2,32,3.0,4,1,1,82,1
52286,Sales & Marketing,28,Master's & above,Female,Other,1,34,5.0,6,1,1,99,1
14638,Analytics,25,Bachelor's,Female,Other,1,29,,1,0,0,84,1
18531,Analytics,28,Master's & above,Male,Sourcing,2,32,3.0,4,1,0,86,1
50166,Operations,16,Master's & above,Male,Sourcing,1,44,4.0,11,1,0,97,1
9044,Procurement,7,Bachelor's,Male,Sourcing,1,30,4.0,6,1,0,70,1
62422,HR,2,Master's & above,Female,Sourcing,1,52,3.0,23,1,0,50,1
44501,Sales & Marketing,2,Bachelor's,Male,Sourcing,1,24,1.0,3,1,0,50,1
55924,Technology,7,Master's & above,Male,Sourcing,1,32,5.0,9,1,0,71,1
17204,Analytics,4,Master's & above,Male,Sourcing,1,33,5.0,4,0,0,85,1
57593,Technology,23,Master's & above,Male,Other,1,34,1.0,2,1,0,86,1
31244,Technology,13,Master's & above,Male,Other,1,32,5.0,6,1,1,77,1
70964,Operations,22,Bachelor's,Male,Referred,1,32,4.0,4,1,0,58,1
3408,Technology,16,Bachelor's,Male,Other,2,36,5.0,4,1,0,81,1
58792,Technology,13,Master's & above,Male,Sourcing,1,38,3.0,4,1,1,78,1
272,Technology,7,Bachelor's,Female,Sourcing,1,29,5.0,2,1,0,82,1
32409,Procurement,27,Bachelor's,Female,Sourcing,1,36,5.0,7,1,0,65,1
77713,Sales & Marketing,5,Bachelor's,Male,Sourcing,1,34,5.0,6,1,1,93,1
59391,Analytics,13,Bachelor's,Male,Other,2,29,2.0,2,0,0,88,1
51618,Analytics,22,Bachelor's,Male,Referred,1,28,4.0,5,1,0,86,1
23111,Sales & Marketing,11,Bachelor's,Male,Sourcing,2,27,5.0,7,1,0,45,1
44714,Technology,22,Master's & above,Male,Sourcing,1,47,5.0,19,1,0,72,1
21854,Procurement,7,Master's & above,Male,Other,1,34,3.0,6,1,0,67,1
44972,Technology,2,Master's & above,Male,Other,1,44,5.0,6,1,0,77,1
60565,Technology,2,Master's & above,Male,Sourcing,1,38,5.0,9,0,0,83,1
70674,Technology,22,Bachelor's,Male,Other,4,26,4.0,3,1,0,99,1
70018,Sales & Marketing,27,Bachelor's,Male,Sourcing,2,27,4.0,5,1,0,53,1
56560,HR,20,Bachelor's,Male,Other,1,31,3.0,6,1,0,48,1
73672,Operations,7,Master's & above,Male,Sourcing,1,49,5.0,9,1,0,95,1
36914,Operations,4,Bachelor's,Male,Sourcing,1,35,3.0,9,1,0,59,1
77725,Legal,20,Bachelor's,Male,Other,1,30,4.0,4,1,0,59,1
